tipo	pacote	versao	arquivo
egl	egl-gbm	1.1.3-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/egl-gbm-1.1.3-1-x86_64.pkg.tar.zst
egl	egl-wayland	4:1.1.21-1	IRRECUPERAVEL
egl	egl-x11	1.0.5-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/egl-x11-1.0.5-1-x86_64.pkg.tar.zst
nvidia-userland	lib32-nvidia-utils	610.43.02-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/lib32-nvidia-utils-610.43.02-1-x86_64.pkg.tar.zst
nvidia-userland	lib32-opencl-nvidia	610.43.02-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/lib32-opencl-nvidia-610.43.02-1-x86_64.pkg.tar.zst
nvidia-userland	libxnvctrl	610.43.02-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/libxnvctrl-610.43.02-1-x86_64_v3.pkg.tar.zst
kernel	linux-cachyos	7.0.11-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/linux-cachyos-7.0.11-1-x86_64_v3.pkg.tar.zst
headers	linux-cachyos-headers	7.0.11-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/linux-cachyos-headers-7.0.11-1-x86_64_v3.pkg.tar.zst
nvidia-kernel	linux-cachyos-nvidia-open	7.0.11-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/linux-cachyos-nvidia-open-7.0.11-1-x86_64_v3.pkg.tar.zst
firmware	linux-firmware-nvidia	20260519-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/linux-firmware-nvidia-20260519-1-any.pkg.tar.zst
nvidia-userland	nvidia-settings	610.43.02-1	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/nvidia-settings-610.43.02-1-x86_64_v3.pkg.tar.zst
nvidia-userland	nvidia-utils	610.43.02-3	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/nvidia-utils-610.43.02-3-x86_64_v3.pkg.tar.zst
nvidia-userland	opencl-nvidia	610.43.02-3	/media/vmstore/mocha-repo/incoming/iso-interna-cachyos-atual-20260610-193058/opencl-nvidia-610.43.02-3-x86_64_v3.pkg.tar.zst
